# NexusSec - fonti dei tool (link attivi e funzionanti)
# Generato da build/nxs-sources-check.py - NON modificare a mano.
# Tool totali: 433   Rotti: 0
#
# TOOL                    STATO  METODO    FONTE
fern-wifi-cracker       OK     kali      kali-rolling apt:fern-wifi-cracker
feroxbuster             OK     kali      kali-rolling apt:feroxbuster
ferret-sidejack         OK     kali      kali-rolling apt:ferret-sidejack
ffuf                    OK     apk       apk:ffuf
fierce                  OK     kali      kali-rolling apt:fierce
fiked                   OK     kali      kali-rolling apt:fiked
findomain               OK     kali      kali-rolling apt:findomain
firewalk                OK     kali      kali-rolling apt:firewalk
flare-floss             OK     pip       pypi:flare-floss
foremost                OK     apk       apk:foremost
forensics-colorize      OK     kali      kali-rolling apt:forensics-colorize
fping                   OK     apk       apk:fping
fragrouter              OK     kali      kali-rolling apt:fragrouter
freeradius-wpe          OK     kali      kali-rolling apt:freeradius-wpe
freerdp3-x11            OK     kali      kali-rolling apt:freerdp3-x11
ftester                 OK     kali      kali-rolling apt:ftester
galleta                 OK     kali      kali-rolling apt:galleta
gdb                     OK     apk       apk:gdb
ghex                    OK     apk       apk:ghex
ghidra                  OK     apk       apk:ghidra
gnuradio                OK     kali      kali-rolling apt:gnuradio
gobuster                OK     apk       apk:gobuster
gospider                OK     kali      kali-rolling apt:gospider
gpart                   OK     kali      kali-rolling apt:gpart
gparted                 OK     kali      kali-rolling apt:gparted
gpp-decrypt             OK     kali      kali-rolling apt:gpp-decrypt
gqrx-sdr                OK     kali      kali-rolling apt:gqrx-sdr
gr-air-modes            OK     kali      kali-rolling apt:gr-air-modes
gr-osmosdr              OK     kali      kali-rolling apt:gr-osmosdr
grokevt                 OK     kali      kali-rolling apt:grokevt
gtkterm                 OK     kali      kali-rolling apt:gtkterm
guymager                OK     kali      kali-rolling apt:guymager
hackrf                  OK     kali      kali-rolling apt:hackrf
hakrawler               OK     kali      kali-rolling apt:hakrawler
hamster-sidejack        OK     kali      kali-rolling apt:hamster-sidejack
hash-identifier         OK     kali      kali-rolling apt:hash-identifier
hashcat                 OK     apk       apk:hashcat
hashdeep                OK     kali      kali-rolling apt:hashdeep
hashid                  OK     kali      kali-rolling apt:hashid
heartleech              OK     kali      kali-rolling apt:heartleech
hexedit                 OK     apk       apk:hexedit
hexinject               OK     kali      kali-rolling apt:hexinject
holehe                  OK     pip       pypi:holehe
hostapd-wpe             OK     kali      kali-rolling apt:hostapd-wpe
hping3                  OK     apk       apk:hping3
httprint                OK     kali      kali-rolling apt:httprint
httrack                 OK     apk       apk:httrack
hydra                   OK     apk       apk:hydra
hydra-gtk               OK     kali      kali-rolling apt:hydra-gtk
iaxflood                OK     kali      kali-rolling apt:iaxflood
ike-scan                OK     kali      kali-rolling apt:ike-scan
impacket                OK     kali      kali-rolling apt:impacket-scripts
inetsim                 OK     kali      kali-rolling apt:inetsim
inspectrum              OK     kali      kali-rolling apt:inspectrum
instaloader             OK     kali      kali-rolling apt:instaloader
intrace                 OK     kali      kali-rolling apt:intrace
inviteflood             OK     kali      kali-rolling apt:inviteflood
iodine                  OK     kali      kali-rolling apt:iodine
irpas                   OK     kali      kali-rolling apt:irpas
isr-evilgrade           OK     kali      kali-rolling apt:isr-evilgrade
iw                      OK     kali      kali-rolling apt:iw
jadx                    OK     apk       apk:jadx
javasnoop               OK     kali      kali-rolling apt:javasnoop
jboss-autopwn           OK     kali      kali-rolling apt:jboss-autopwn
jd-gui                  OK     kali      kali-rolling apt:jd-gui
john                    OK     apk       apk:john
johnny                  OK     kali      kali-rolling apt:johnny
joomscan                OK     kali      kali-rolling apt:joomscan
jsql-injection          OK     kali      kali-rolling apt:jsql-injection
kalibrate-rtl           OK     kali      kali-rolling apt:kalibrate-rtl
kismet                  OK     apk       apk:kismet
laudanum                OK     kali      kali-rolling apt:laudanum
lbd                     OK     kali      kali-rolling apt:lbd
legion                  OK     kali      kali-rolling apt:legion
libnfc                  OK     kali      kali-rolling apt:libnfc-bin
linkedin2username       OK     kali      kali-rolling apt:linkedin2username
ltrace                  OK     apk       apk:ltrace
lvm2                    OK     kali      kali-rolling apt:lvm2
lynis                   OK     apk       apk:lynis
mac-robber              OK     kali      kali-rolling apt:mac-robber
macchanger              OK     apk       apk:macchanger
magicrescue             OK     kali      kali-rolling apt:magicrescue
maltego                 OK     kali      kali-rolling apt:maltego
maskprocessor           OK     kali      kali-rolling apt:maskprocessor
masscan                 OK     apk       apk:masscan
massdns                 OK     kali      kali-rolling apt:massdns
mdbtools                OK     kali      kali-rolling apt:mdbtools
mdk3                    OK     kali      kali-rolling apt:mdk3
mdk4                    OK     kali      kali-rolling apt:mdk4
medusa                  OK     apk       apk:medusa
memdump                 OK     kali      kali-rolling apt:memdump
metacam                 OK     kali      kali-rolling apt:metacam
